נושא,תאור הנושא
30313,מכניקת זורמים שימושית
30321,תכנות למכטרוניקה
30324,תכן מנגנונים
30326,בחירת החומרים
30327,עיצוב תעשייתי
30328,מבוא לאווירודינמיקה
30331,תהליכי ייצור
30334,"תיב""ם"
30340,מעבדה במנועי שריפה פנימית
30341,דינמיקה של כלי רכב
30342,מעבדת נהיגה-דינמיקה של כלי רכב
30343,מבנאות רכב
30344,תכנון רכב
30351,מבוא לתורת האלסטיות
30353,סביבה תחבורה וקיימות
30407,ליווי פרוייקטי גמר בהנדסה מכנית
30805,מבוא לרובוטיקה
40102,בסיסי ומחסני נתונים
40103,מבוא לכלכלה
40104,הנדסת שיטות
40105,הסקה סטטיסטית
40106,חשבונאות ותמחיר
40107,התנהגות ארגונית
40108,ניהול פרויקטים
40109,מבוא לשיווק
40111,מבוא למערכות מידע
40112,מבוא לחקר ביצועים
40113,מבוא לפסיכולוגיה ניסויית ותעשייתית
40114,ייצור ממוחשב
40115,ארגונומיה: מערכות אדם מכונה
40118,סימולציה
40120,מודלים סטוכסטיים
40121,ניהול לוגיסטיקה שרשראות אספקה
40122,מערכות ייצור ממוחשבות CIM
40123,שיטות אופטימיזציה
40124,תכן מערך מפעלים
40125,ניהול ידע ומבוא להנדסת קוגניטיבית
40127,איכות כוללת
40129,כלכלה הנדסית
40130,אבטחת איכות
40132,ניהול התפעול1
40133,ניהול התפעול2
40134,מבוא לתעשייה4.0
40135,ניתוח ותכנון מערכות מידע
40137,מבוא להנדסת תעשייה
40203,תחזוקה מערכתית
40204,כלכלה התנהגותית
40205,בינה עסקית
40209,מבוא למערכות המלצה
40210,סמינר אנליטיקה עסקית
40211,תכנון מערכות ניתוח וקבלת החלטות בארגון
40213,ניהול סיכונים וביטוח
40214,ניהול מידע הנדסי
40215,תורת המשחקים
40216,סמינר בהנדסת תפעול וייצור
40219,מערכות מידע ארגוניות - ERP
40220,ממשקי אדם מחשב
40222,מערכות ניהול קשרי לקוחות
40223,טכנולוגיות אינטרנט למערכות מידע
40225,כריית מידע
